,path,channel,emotion,e-intensity,statement,actor,split
0,./datasets/archive/Actor_01/03-01-04-01-01-01-01.wav,01,04,01,01,01,01
1,./datasets/archive/Actor_01/03-01-02-01-02-02-01.wav,01,02,01,02,01,01
2,./datasets/archive/Actor_01/03-01-07-02-01-01-01.wav,01,07,02,01,01,01
3,./datasets/archive/Actor_01/03-01-05-01-02-02-01.wav,01,05,01,02,01,01
4,./datasets/archive/Actor_01/03-01-02-01-01-02-01.wav,01,02,01,01,01,01
5,./datasets/archive/Actor_01/03-01-08-02-01-01-01.wav,01,08,02,01,01,01
6,./datasets/archive/Actor_01/03-01-01-01-02-02-01.wav,01,01,01,02,01,01
7,./datasets/archive/Actor_01/03-01-01-01-02-01-01.wav,01,01,01,02,01,01
8,./datasets/archive/Actor_01/03-01-02-01-01-01-01.wav,01,02,01,01,01,01
9,./datasets/archive/Actor_01/03-01-06-01-02-02-01.wav,01,06,01,02,01,01
10,./datasets/archive/Actor_01/03-01-05-02-02-02-01.wav,01,05,02,02,01,01
11,./datasets/archive/Actor_01/03-01-03-01-01-01-01.wav,01,03,01,01,01,01
12,./datasets/archive/Actor_01/03-01-08-02-02-01-01.wav,01,08,02,02,01,01
13,./datasets/archive/Actor_01/03-01-03-02-01-01-01.wav,01,03,02,01,01,01
14,./datasets/archive/Actor_01/03-01-04-02-02-02-01.wav,01,04,02,02,01,01
15,./datasets/archive/Actor_01/03-01-04-02-02-01-01.wav,01,04,02,02,01,01
16,./datasets/archive/Actor_01/03-01-03-02-01-02-01.wav,01,03,02,01,01,01
17,./datasets/archive/Actor_01/03-01-06-01-02-01-01.wav,01,06,01,02,01,01
18,./datasets/archive/Actor_01/03-01-02-02-01-02-01.wav,01,02,02,01,01,01
19,./datasets/archive/Actor_01/03-01-03-01-02-02-01.wav,01,03,01,02,01,01
20,./datasets/archive/Actor_01/03-01-05-01-01-01-01.wav,01,05,01,01,01,01
21,./datasets/archive/Actor_01/03-01-05-02-02-01-01.wav,01,05,02,02,01,01
22,./datasets/archive/Actor_01/03-01-08-02-01-02-01.wav,01,08,02,01,01,01
23,./datasets/archive/Actor_01/03-01-03-02-02-02-01.wav,01,03,02,02,01,01
24,./datasets/archive/Actor_01/03-01-07-02-01-02-01.wav,01,07,02,01,01,01
25,./datasets/archive/Actor_01/03-01-03-01-02-01-01.wav,01,03,01,02,01,01
26,./datasets/archive/Actor_01/03-01-04-01-01-02-01.wav,01,04,01,01,01,01
27,./datasets/archive/Actor_01/03-01-03-01-01-02-01.wav,01,03,01,01,01,01
28,./datasets/archive/Actor_01/03-01-07-02-02-02-01.wav,01,07,02,02,01,01
29,./datasets/archive/Actor_01/03-01-02-02-01-01-01.wav,01,02,02,01,01,01
30,./datasets/archive/Actor_01/03-01-04-02-01-02-01.wav,01,04,02,01,01,01
31,./datasets/archive/Actor_01/03-01-08-01-01-02-01.wav,01,08,01,01,01,01
32,./datasets/archive/Actor_01/03-01-01-01-01-02-01.wav,01,01,01,01,01,01
33,./datasets/archive/Actor_01/03-01-04-01-02-01-01.wav,01,04,01,02,01,01
34,./datasets/archive/Actor_01/03-01-06-02-01-01-01.wav,01,06,02,01,01,01
35,./datasets/archive/Actor_01/03-01-06-02-02-02-01.wav,01,06,02,02,01,01
36,./datasets/archive/Actor_01/03-01-05-01-02-01-01.wav,01,05,01,02,01,01
37,./datasets/archive/Actor_01/03-01-02-02-02-01-01.wav,01,02,02,02,01,01
38,./datasets/archive/Actor_01/03-01-07-01-01-01-01.wav,01,07,01,01,01,01
39,./datasets/archive/Actor_01/03-01-08-01-02-01-01.wav,01,08,01,02,01,01
40,./datasets/archive/Actor_01/03-01-04-02-01-01-01.wav,01,04,02,01,01,01
41,./datasets/archive/Actor_01/03-01-08-02-02-02-01.wav,01,08,02,02,01,01
42,./datasets/archive/Actor_01/03-01-07-02-02-01-01.wav,01,07,02,02,01,01
43,./datasets/archive/Actor_01/03-01-07-01-02-01-01.wav,01,07,01,02,01,01
44,./datasets/archive/Actor_01/03-01-08-01-02-02-01.wav,01,08,01,02,01,01
45,./datasets/archive/Actor_01/03-01-06-01-01-01-01.wav,01,06,01,01,01,01
46,./datasets/archive/Actor_01/03-01-05-01-01-02-01.wav,01,05,01,01,01,01
47,./datasets/archive/Actor_01/03-01-08-01-01-01-01.wav,01,08,01,01,01,01
48,./datasets/archive/Actor_01/03-01-02-01-02-01-01.wav,01,02,01,02,01,02
49,./datasets/archive/Actor_01/03-01-07-01-01-02-01.wav,01,07,01,01,01,02
50,./datasets/archive/Actor_01/03-01-06-02-02-01-01.wav,01,06,02,02,01,02
51,./datasets/archive/Actor_01/03-01-06-01-01-02-01.wav,01,06,01,01,01,02
52,./datasets/archive/Actor_01/03-01-04-01-02-02-01.wav,01,04,01,02,01,02
53,./datasets/archive/Actor_01/03-01-01-01-01-01-01.wav,01,01,01,01,01,02
54,./datasets/archive/Actor_01/03-01-06-02-01-02-01.wav,01,06,02,01,01,03
55,./datasets/archive/Actor_01/03-01-07-01-02-02-01.wav,01,07,01,02,01,03
56,./datasets/archive/Actor_01/03-01-05-02-01-01-01.wav,01,05,02,01,01,03
57,./datasets/archive/Actor_01/03-01-02-02-02-02-01.wav,01,02,02,02,01,03
58,./datasets/archive/Actor_01/03-01-03-02-02-01-01.wav,01,03,02,02,01,03
59,./datasets/archive/Actor_01/03-01-05-02-01-02-01.wav,01,05,02,01,01,03
60,./datasets/archive/Actor_02/03-01-04-02-02-01-02.wav,01,04,02,02,02,01
61,./datasets/archive/Actor_02/03-01-05-01-02-01-02.wav,01,05,01,02,02,01
62,./datasets/archive/Actor_02/03-01-03-01-02-02-02.wav,01,03,01,02,02,01
63,./datasets/archive/Actor_02/03-01-07-02-01-01-02.wav,01,07,02,01,02,01
64,./datasets/archive/Actor_02/03-01-02-02-02-01-02.wav,01,02,02,02,02,01
65,./datasets/archive/Actor_02/03-01-05-02-01-02-02.wav,01,05,02,01,02,01
66,./datasets/archive/Actor_02/03-01-03-01-01-01-02.wav,01,03,01,01,02,01
67,./datasets/archive/Actor_02/03-01-05-02-02-02-02.wav,01,05,02,02,02,01
68,./datasets/archive/Actor_02/03-01-03-02-01-01-02.wav,01,03,02,01,02,01
69,./datasets/archive/Actor_02/03-01-04-01-02-02-02.wav,01,04,01,02,02,01
70,./datasets/archive/Actor_02/03-01-05-01-01-02-02.wav,01,05,01,01,02,01
71,./datasets/archive/Actor_02/03-01-04-01-01-02-02.wav,01,04,01,01,02,01
72,./datasets/archive/Actor_02/03-01-04-02-01-01-02.wav,01,04,02,01,02,01
73,./datasets/archive/Actor_02/03-01-04-01-01-01-02.wav,01,04,01,01,02,01
74,./datasets/archive/Actor_02/03-01-06-02-02-01-02.wav,01,06,02,02,02,01
75,./datasets/archive/Actor_02/03-01-03-02-02-01-02.wav,01,03,02,02,02,01
76,./datasets/archive/Actor_02/03-01-05-02-02-01-02.wav,01,05,02,02,02,01
77,./datasets/archive/Actor_02/03-01-02-02-02-02-02.wav,01,02,02,02,02,01
78,./datasets/archive/Actor_02/03-01-02-01-01-01-02.wav,01,02,01,01,02,01
79,./datasets/archive/Actor_02/03-01-04-02-01-02-02.wav,01,04,02,01,02,01
80,./datasets/archive/Actor_02/03-01-08-02-02-02-02.wav,01,08,02,02,02,01
81,./datasets/archive/Actor_02/03-01-03-02-01-02-02.wav,01,03,02,01,02,01
82,./datasets/archive/Actor_02/03-01-07-02-02-01-02.wav,01,07,02,02,02,01
83,./datasets/archive/Actor_02/03-01-08-02-01-01-02.wav,01,08,02,01,02,01
84,./datasets/archive/Actor_02/03-01-04-01-02-01-02.wav,01,04,01,02,02,01
85,./datasets/archive/Actor_02/03-01-06-01-01-01-02.wav,01,06,01,01,02,01
86,./datasets/archive/Actor_02/03-01-08-02-02-01-02.wav,01,08,02,02,02,01
87,./datasets/archive/Actor_02/03-01-01-01-01-02-02.wav,01,01,01,01,02,01
88,./datasets/archive/Actor_02/03-01-07-01-02-02-02.wav,01,07,01,02,02,01
89,./datasets/archive/Actor_02/03-01-02-01-02-02-02.wav,01,02,01,02,02,01
